id,name,birth_year,death_year
Q15897,Amy Winehouse,1983,2011
Q34389,Whitney Houston,1963,2012
Q2831,Michael Jackson,1958,2009
Q324726,Mac Miller,1992,2018
Q311655,Tom Petty,1950,2017
Q40572,Heath Ledger,1979,2008
Q1514,Janis Joplin,1943,1970
Q5928,Jimi Hendrix,1942,1970
Q44301,Jim Morrison,1943,1971
Q303,Elvis Presley,1935,1977
Q180560,Philip Seymour Hoffman,1967,2014
Q106514,River Phoenix,1970,1993
Q311752,Chris Farley,1964,1997
Q23858,John Belushi,1949,1982
Q296484,Cory Monteith,1982,2013
Q180710,Anna Nicole Smith,1967,2007
Q168847,Brittany Murphy,1977,2009
Q346607,Dee Dee Ramone,1951,2002
Q47878,Sid Vicious,1957,1979
Q29388200,Lil Peep,1996,2017
Q52151598,Juice Wrld,1998,2019
Q363236,Scott Weiland,1967,2015
Q309838,Layne Staley,1967,2002
Q11637,Judy Garland,1922,1969
Q4616,Marilyn Monroe,1926,1962
Q18951229,Bobbi Kristina Brown,1993,2015
Q211696,Keith Moon,1946,1978
Q438124,Gram Parsons,1946,1973
Q683420,Nicolás Sestito,1942,1968
Q720722,Pimp C,1973,2007
Q211588,Nick Drake,1948,1974
Q7542,Prince,1958,2016
Q10312705,Judith Belushi Pisano,1951,2024
Q109321200,Mimi O'Donnell,,
Q110521446,Joe Macaluso,,
Q11694033,Devon Wilson,1943,1971
Q119855954,Billy Wayne Smith,1968,
Q1292656,Susannah Melvoin,1964,
Q131645981,Dana Petty,,
Q131646995,Jane Benyo,,
Q131785210,Lithofayne Pridgon,,
Q151892,Ariana Grande,1993,
Q156796,Michelle Williams,1980,
Q164782,Ashton Kutcher,1978,
Q21001112,Blake Fielder-Civil,1982,
Q22808247,Manuela Testolini,1976,
Q228733,Lea Michele,1986,
Q234773,Priscilla Presley,1945,
Q237324,Lisa Marie Presley,1968,2023
Q241669,Nancy Spungen,1958,1978
Q2527743,J. Howard Marshall,1905,1995
Q2850191,Anita Wood,1938,2023
Q297142,Joe DiMaggio,1914,1999
Q3078773,Debbie Rowe,1958,
Q311241,Bobby Brown,1969,
Q323781,Sidney Luft,1915,2005
Q3294107,Mark Herron,1928,1996
Q3423322,Reg Traviss,1977,
Q428967,Pamela Courson,1946,1974
Q51535,Vincente Minnelli,1903,1986
Q537170,Kim McLagan,1948,2006
Q58639495,Linda Keith,1946,
Q5920069,Howard K. Stern,1968,
Q592678,Ginger Alden,1956,
Q6174304,Jeff Kwatinetz,1965,
Q6377218,Kathy Etchingham,1946,
Q645704,Simon Monjack,1970,2010
Q6838610,Mickey Deans,1934,2003
Q715175,Vanity,1959,2016
Q80596,Arthur Miller,1915,2005
Q9299606,Mayte Garcia,1973,
Q937852,David Rose,1910,1990
Q946783,James Dougherty,1921,2005
Q950204,Alex Clare,1985,
Q9696,John F. Kennedy,1917,1963
