source_id,target_id,type
Q15897,Q21001112,SPOUSE
Q15897,Q950204,PARTNER
Q15897,Q3423322,PARTNER
Q34389,Q311241,SPOUSE
Q34389,Q18951229,RELATIVE
Q2831,Q237324,SPOUSE
Q2831,Q3078773,SPOUSE
Q324726,Q151892,PARTNER
Q311655,Q131646995,SPOUSE
Q311655,Q131645981,SPOUSE
Q311655,Q131645981,PARTNER
Q40572,Q156796,PARTNER
Q5928,Q11694033,PARTNER
Q5928,Q58639495,PARTNER
Q5928,Q131785210,PARTNER
Q5928,Q6377218,PARTNER
Q44301,Q428967,SPOUSE
Q44301,Q428967,PARTNER
Q303,Q234773,SPOUSE
Q303,Q2850191,PARTNER
Q303,Q592678,PARTNER
Q303,Q237324,RELATIVE
Q180560,Q109321200,PARTNER
Q23858,Q10312705,SPOUSE
Q296484,Q228733,PARTNER
Q180710,Q2527743,SPOUSE
Q180710,Q119855954,SPOUSE
Q180710,Q5920069,SPOUSE
Q180710,Q5920069,PARTNER
Q168847,Q645704,SPOUSE
Q168847,Q164782,PARTNER
Q168847,Q6174304,PARTNER
Q168847,Q110521446,PARTNER
Q47878,Q241669,PARTNER
Q11637,Q937852,SPOUSE
Q11637,Q51535,SPOUSE
Q11637,Q323781,SPOUSE
Q11637,Q3294107,SPOUSE
Q11637,Q6838610,SPOUSE
Q4616,Q946783,SPOUSE
Q4616,Q297142,SPOUSE
Q4616,Q80596,SPOUSE
Q4616,Q9696,PARTNER
Q18951229,Q311241,RELATIVE
Q211696,Q537170,SPOUSE
Q7542,Q9299606,SPOUSE
Q7542,Q22808247,SPOUSE
Q7542,Q1292656,PARTNER
Q7542,Q715175,PARTNER
Q234773,Q237324,RELATIVE
